Date,Open,High,Low,Close,Volume,Award Amount,Company Name,Delta % Close - Open,Delta % High - Low
2024-08-26,31.43,31.74,30.79,30.85,35283625.0,0,PALANTIR TECHNOLOGIES INC.,-1.8453706649697688,3.0854173432932748
2024-08-23,31.99,32.55,31.622,31.78,34121175.0,0,PALANTIR TECHNOLOGIES INC.,-0.656455142231939,2.93466573904243
2024-08-22,32.55,33.125,31.85,31.92,43522223.0,0,PALANTIR TECHNOLOGIES INC.,-1.9354838709677282,4.0031397174254275
2024-08-21,32.32,32.67,31.97,32.54,38147564.0,0,PALANTIR TECHNOLOGIES INC.,0.6806930693069271,2.189552705661567
2024-08-20,32.5,32.72,31.63,32.32,40783010.0,0,PALANTIR TECHNOLOGIES INC.,-0.553846153846153,3.4460954789756553
2024-08-19,32.42,32.59,31.814,32.5,52353641.0,0,PALANTIR TECHNOLOGIES INC.,0.24676125848241298,2.4391777205004193
2024-08-16,31.04,32.75,30.98,32.08,64870638.0,0,PALANTIR TECHNOLOGIES INC.,3.3505154639175228,5.713363460296964
2024-08-15,31.31,31.495,30.83,31.22,43407612.0,0,PALANTIR TECHNOLOGIES INC.,-0.2874480996486741,2.1569899448589123
2024-08-14,30.62,31.37,30.33,31.0,49885641.0,0,PALANTIR TECHNOLOGIES INC.,1.2410189418680568,3.4289482360699073
2024-08-13,29.7887,30.8498,29.56,30.39,57294206.0,0,PALANTIR TECHNOLOGIES INC.,2.018550658471172,4.363328822733423
2024-08-12,30.22,31.2,29.27,29.38,67890322.0,0,PALANTIR TECHNOLOGIES INC.,-2.7796161482461943,6.593782029381619
2024-08-09,29.28,30.36,29.1,30.01,88131106.0,0,PALANTIR TECHNOLOGIES INC.,2.493169398907105,4.3298969072164875
2024-08-08,27.04,29.375,26.69,29.28,96892918.0,0,PALANTIR TECHNOLOGIES INC.,8.28402366863906,10.059947545897334
2024-08-07,27.07,28.36,26.24,26.32,75975382.0,0,PALANTIR TECHNOLOGIES INC.,-2.7705947543405984,8.079268292682931
2024-08-06,27.05,27.42,25.57,26.59,99622681.0,0,PALANTIR TECHNOLOGIES INC.,-1.70055452865065,7.235041063746584
2024-08-05,21.74,24.42,21.23,24.09,88023468.0,0,PALANTIR TECHNOLOGIES INC.,10.809567617295315,15.0259067357513
2024-08-02,24.75,24.87,23.75,24.74,56092591.0,0,PALANTIR TECHNOLOGIES INC.,-0.04040404040404672,4.7157894736842145
2024-08-01,27.02,27.535,25.83,26.08,31189607.0,0,PALANTIR TECHNOLOGIES INC.,-3.47890451517395,6.60085172280295
2024-07-31,27.02,27.39,26.88,26.89,29111605.0,0,PALANTIR TECHNOLOGIES INC.,-0.4811250925240526,1.8973214285714344
2024-07-30,27.25,27.44,25.89,26.37,31819905.0,0,PALANTIR TECHNOLOGIES INC.,-3.2293577981651342,5.986867516415607
2024-07-29,27.56,27.8,26.73,27.08,26038842.0,0,PALANTIR TECHNOLOGIES INC.,-1.7416545718432528,4.002992891881782
2024-07-26,27.0,27.34,26.77,27.18,27432224.0,0,PALANTIR TECHNOLOGIES INC.,0.6666666666666656,2.129249159506912
2024-07-25,26.04,27.288,25.42,26.63,45474613.0,0,PALANTIR TECHNOLOGIES INC.,2.2657450076804913,7.34854445318646
2024-07-24,28.44,28.685,26.58,26.6,49004105.0,0,PALANTIR TECHNOLOGIES INC.,-6.469760900140646,7.919488337095562
